Company Name,Category,Subcategory,Phone,Email,Address,Website,Instagram,Facebook,Twitter,LinkedIn,Rating
Costa Caulking,Construction & Renovations,Bathroom renovation,,,,https://costacaulking.com/,,,,,92%
The Renovators of Canada,Construction & Renovations,Bathroom renovation,,,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,Construction & Renovations,Bathroom renovation,,,,https://www.jescorerenovations.com/,,,,,98%
Jbg Tile And Contracting,Construction & Renovations,Bathroom renovation,,,,https://jbgtile.com/,,,,,96%
Crucial Construction,Construction & Renovations,Demolition,,,,https://www.crucialconstruction.com/,https://instagram.com/crucialconstruction?igshid=MzRlODBiNWFlZA==,,,,94%
CNS Custom Home Ltd,Construction & Renovations,Demolition,,,,https://cnscustomhome.com/,https://www.instagram.com/cnscustomhome/,https://www.facebook.com/cnscustomhome,,,85%
Goodridge Contracting,Construction & Renovations,Demolition,,,,https://www.goodridgecontracting.ca/,https://www.instagram.com/goodridge.contracting,,,,97%
Canada's Restoration Services,Construction & Renovations,Demolition,,,,https://canadarestorationservices.com/,https://www.instagram.com/canadarestorationservices,https://www.homestars.com/companies/www.facebook.com/canadarestorationservices,,,96%
The Home Improvement Group - THIG,Construction & Renovations,Demolition,,,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
Mold.Ca,Construction & Renovations,Demolition,,,,http://www.mold.ca/,,,,,97%
GT Abatement Inc,Construction & Renovations,Demolition,,,,http://www.gtabatement.com/,,,,,98%
Big Ben's Junk Removal,Construction & Renovations,Demolition,,,,http://www.bigbensjunkremoval.com/,,,,,97%
Restoranation Inc,Construction & Renovations,Demolition,,,,https://restoranation.com/,,,,,99%
The Renovators of Canada,Construction & Renovations,Demolition,,,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,Construction & Renovations,Demolition,,,,https://www.jescorerenovations.com/,,,,,98%
We Haul Demolition and Disposal Services,Construction & Renovations,Demolition,,,,https://www.we-haul.ca/,https://www.instagram.com/we_haul_disposal_services/,https://www.facebook.com/wehauldisposal,,,96%
RenoDuck - Basement Renovation & Finishing,Construction & Renovations,Demolition,,,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
Domilya Group Construction Inc.,Construction & Renovations,Kitchen planning & renovation,,,,https://www.domilyagroup.ca/?utm_source=Homestars&utm_medium=Homestars,https://www.instagram.com/domilyagroup/?hl=en,https://www.facebook.com/domilyaGroupInc/,,,98%
RenoDuck - Basement Renovation & Finishing,Construction & Renovations,Kitchen planning & renovation,,,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
TheRenoBros,Construction & Renovations,Kitchen planning & renovation,,,,https://vinnietrb.wixsite.com/pros,https://www.instagram.com/TheRenoBros/,,,,98%
Home Improvement People Inc.,Construction & Renovations,Kitchen planning & renovation,,,,http://www.homeimprovementpeople.com/,http://www.instagram.com/homeimprovementpeople,,,,98%
Sky Kitchens,Construction & Renovations,Kitchen planning & renovation,,,,http://www.skykitchen.ca/,,https://www.facebook.com/Sky-Kitchen-Cabinets-Ltd-503515696370734/,,,96%
P & P General Contractors Inc.,Construction & Renovations,Kitchen planning & renovation,,,,http://www.ppgeneralcontractorsinc.com/,,,,,97%
KitchensRus,Construction & Renovations,Kitchen planning & renovation,,,,https://kitchensrus.com/,https://www.instagram.com/kitchensrus_ontario/,https://www.facebook.com/KitchensRusOntario/,,,99%
Remodel Construction Company,Construction & Renovations,Kitchen planning & renovation,,,,https://www.remodelconstruction.ca/,,,,,99%
Purple Properties Inc. - Luxury Interiors & Exteriors,Construction & Renovations,Kitchen planning & renovation,,,,https://www.purpleproperties.ca/,,,,,99%
Rockstella Stonery Inc.,Construction & Renovations,Kitchen planning & renovation,,,,https://www.rockstella.ca/,https://www.instagram.com/rockstella_stonery/,https://www.facebook.com/rockstella.ca,,,98%
Kitchen & Bath Inc,Construction & Renovations,Kitchen planning & renovation,,,,https://kitchenandbath.ca/,,https://www.facebook.com/KitchenandBathInc,,,92%
The Home Improvement Group - THIG,Construction & Renovations,Kitchen planning & renovation,,,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
Canlik Kitchens,Construction & Renovations,Kitchen planning & renovation,,,,http://www.refaceyourkitchen.com/,,,,,96%
Start Renovation,Construction & Renovations,Kitchen planning & renovation,,,,https://startrenovation.ca/,https://instagram.com/start_renovation,,,,99%
RenoDuck Kitchen Renovation & Finishing,Construction & Renovations,Kitchen planning & renovation,,,,https://www.renoduckkitchens.com/,https://www.instagram.com/renoduckhomes/,https://www.facebook.com/renoduckhomes/,,,98%
Nd Contracting,Construction & Renovations,Kitchen planning & renovation,,,,https://ndcontracting.ca/,https://www.instagram.com/NDcontracting/,,,,89%
TS Kitchen,Construction & Renovations,Kitchen planning & renovation,,,,https://www.houzz.com/pro/traian-stanciu/ts-kitchen-projects,,,,,99%
Easy Renovation,Construction & Renovations,Kitchen planning & renovation,,,,https://easyrenovation.ca/condo-renovation-toronto/,,,,,95%
Oborne Contracting Inc.,Construction & Renovations,Kitchen planning & renovation,,,,https://obornecontracting.ca/,,,,,96%
New Kitchen Toronto,Construction & Renovations,Kitchen planning & renovation,,,,http://www.newkitchentoronto.ca/,,,,,98%
renoWOW!,Construction & Renovations,Kitchen planning & renovation,,,,http://www.renowow.ca/,,,,,98%
North 5 Contracting INC,Construction & Renovations,Kitchen planning & renovation,,,,https://north5contracting.ca/,https://www.instagram.com/north_5_contracting/?hl=en,https://m.facebook.com/N5CGeneralContractor,,,99%
K Wood Kitchens and Bath,Construction & Renovations,Kitchen planning & renovation,,,,https://kwoodkitchens.com/,,https://www.facebook.com/kwoodkitchens,,,98%
The Renovators of Canada,Construction & Renovations,Kitchen planning & renovation,,,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,Construction & Renovations,Kitchen planning & renovation,,,,https://www.jescorerenovations.com/,,,,,98%
Kitchen Installation.Ca,Construction & Renovations,Kitchen planning & renovation,,,,https://www.kitcheninstallation.ca/,https://www.instagram.com/kitcheninstallation.ca,,,,98%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Architects,,,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
Blüne Architectural Design,"Architects, Builders & Engineers",Architects,,,,https://blune.ca/,https://www.instagram.com/blune.inc/,https://www.facebook.com/blune.inc/,,,86%
The Home Improvement Group - THIG,"Architects, Builders & Engineers",Architects,,,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
"Architalcan Design, Inc.","Architects, Builders & Engineers",Architects,,,,https://www.architalcandesign.com/,https://www.instagram.com/architalcan_design/?hl=en,,,,97%
310RENO Design & Renovation,"Architects, Builders & Engineers",Architects,,,,https://www.310reno.ca/,,,,,96%
The Home Improvement Group - THIG,"Architects, Builders & Engineers",Architects,,,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
Cadaxx Design,"Architects, Builders & Engineers",Architects,,,,https://www.cadaxx.com/,https://www.instagram.com/cadaxxdesign,https://www.facebook.com/cadaxx,,,98%
Sauzteq Engineering Inc.,"Architects, Builders & Engineers",Architects,,,,https://www.sauzteq.ca/,,,,,99%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Architects,,,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
The Renovators of Canada,"Architects, Builders & Engineers",Architects,,,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,"Architects, Builders & Engineers",Architects,,,,https://www.jescorerenovations.com/,,,,,98%
BBA DESIGN STUDIO INC - Architect,"Architects, Builders & Engineers",Architects,,,,https://homestars.com/companies/2891086-bba-design-studio,,,,,99%
RenoDuck - Basement Renovation & Finishing,"Architects, Builders & Engineers",Architects,,,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
Amista Homes Inc,"Architects, Builders & Engineers",Builders,,,,https://www.amistahomes.com/,,,,,96%
StrongHold Contracting,"Architects, Builders & Engineers",Builders,,,,,,,,,
Sanza Homes Inc.,"Architects, Builders & Engineers",Builders,,,,http://www.sanzahomes.com/,https://www.instagram.com/sanzahomes/?hl=en,,,,98%
Home Improvement People Inc.,"Architects, Builders & Engineers",Builders,,,,http://www.homeimprovementpeople.com/,http://www.instagram.com/homeimprovementpeople,,,,98%
Hotwire Power Group,"Architects, Builders & Engineers",Builders,,,,https://www.hotwire-electric.com/,,,,,97%
"Architalcan Design, Inc.","Architects, Builders & Engineers",Builders,,,,https://www.architalcandesign.com/,https://www.instagram.com/architalcan_design/?hl=en,,,,97%
The Home Improvement Group - THIG,"Architects, Builders & Engineers",Builders,,,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
NPC Building and Renovations Limited,"Architects, Builders & Engineers",Builders,,,,https://www.npcrenovations.com/,https://www.instagram.com/npcbuilding/,https://www.facebook.com/npcrenovations/,,,99%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Builders,,,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
Jescore Renovations Inc.,"Architects, Builders & Engineers",Builders,,,,https://www.jescorerenovations.com/,,,,,98%
Domilya Group Construction Inc.,"Architects, Builders & Engineers",Builders,,,,https://www.domilyagroup.ca/?utm_source=Homestars&utm_medium=Homestars,https://www.instagram.com/domilyagroup/?hl=en,https://www.facebook.com/domilyaGroupInc/,,,98%
RenoDuck - Basement Renovation & Finishing,"Architects, Builders & Engineers",Builders,,,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
National Contracting Inc,"Architects, Builders & Engineers",Builders,,,,,,,,,
Generational Homes - Renovation & Construction,"Architects, Builders & Engineers",Builders,,,,https://generationalhomes.ca/,https://www.instagram.com/generation_homes/,https://www.homestars.com/companies/www.facebook.com/generationalhomes,,,89%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Builders,,,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
Victorian Renovations,"Architects, Builders & Engineers",Builders,,,,https://www.victorianreno.ca/,,,,,98%
MEADOWLANDS GROUP INC,"Architects, Builders & Engineers",Builders,,,,https://www.meadowlandsgroupinc.com/,https://www.instagram.com/meadowlandscaping/,https://www.facebook.com/meadowlandscaping,,,95%
Fuzion Designs,"Architects, Builders & Engineers",Builders,,,,https://fuziondesigns.ca/,https://www.instagram.com/fuziondesignscanada/#,https://www.facebook.com/fuziondesignandbuild,,,96%
RENOCORP Inc.,"Architects, Builders & Engineers",Builders,,,,https://www.renocorpinc.ca/,https://www.instagram.com/renocorp_inc,,,,97%
Caspian Development Group Corp,"Architects, Builders & Engineers",Builders,,,,https://www.instagram.com/caspiandevelopmentgroupcorp/?hl=en,,,,,98%
Chicasa Design,"Architects, Builders & Engineers",Builders,,,,https://chicasadesign.com/,https://www.instagram.com/chic_design_build_?igsh=MWpnNm84cWFqdDB0Yg%3D%3D&utm_source=qr,,,,95%
TMDC Group,"Architects, Builders & Engineers",Builders,,,,https://tmdcgroup.ca/,https://instagram.com/tmdc_group?utm_medium=copy_link,https://www.facebook.com/TMDCGroupInc/,,,97%
Thompson Construction (Gta),"Architects, Builders & Engineers",Builders,,,,https://www.thompsonconstruction.co/,https://www.instagram.com/thompsonconstructionrenovation/,,,,97%
Novacon Construction Inc,"Architects, Builders & Engineers",Builders,,,,https://novacon.ca/,,,,,96%
Urban Studio,"Architects, Builders & Engineers",Builders,,,,https://urbanstudio.design/,,https://www.facebook.com/urbanstudiosotoronto,,,96%
Norseman Construction & Development Ltd,"Architects, Builders & Engineers",Builders,,,,https://www.norsemanconstruction.ca/,https://www.instagram.com/norsemanconstruction/,https://www.facebook.com/norsemanconstructionanddevelopment,,,92%
