Company Name,Category,Subcategory,Phone,Email,Address,Website,Instagram,Facebook,Twitter,LinkedIn,Rating
The Renovators of Canada,Construction & Renovations,Kitchen planning & renovation,9055547000,info@trocanada.com,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,Construction & Renovations,Kitchen planning & renovation,9054312299,jescorerenovations@gmail.com,,https://www.jescorerenovations.com/,,,,,98%
Kitchen Installation.Ca,Construction & Renovations,Kitchen planning & renovation,6478483651,,,https://www.kitcheninstallation.ca/,https://www.instagram.com/kitcheninstallation.ca,,,,98%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Architects,4162766298,info@rigidframeses.com,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
Blüne Architectural Design,"Architects, Builders & Engineers",Architects,,contact@blune.ca,,https://blune.ca/,https://www.instagram.com/blune.inc/,https://www.facebook.com/blune.inc/,,,86%
The Home Improvement Group - THIG,"Architects, Builders & Engineers",Architects,9055020204,sales@thig.pro,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
"Architalcan Design, Inc.","Architects, Builders & Engineers",Architects,4165194448,rocco@architalcandesign.com,,https://www.architalcandesign.com/,https://www.instagram.com/architalcan_design/?hl=en,,,,97%
310RENO Design & Renovation,"Architects, Builders & Engineers",Architects,9052736682,info@310reno.com,,https://www.310reno.ca/,,,,,96%
The Home Improvement Group - THIG,"Architects, Builders & Engineers",Architects,9055020204,sales@thig.pro,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
Cadaxx Design,"Architects, Builders & Engineers",Architects,4166390904,info@cadaxx.com,,https://www.cadaxx.com/,https://www.instagram.com/cadaxxdesign,https://www.facebook.com/cadaxx,,,98%
Sauzteq Engineering Inc.,"Architects, Builders & Engineers",Architects,9053302431,info@sauzteq.ca,,https://www.sauzteq.ca/,,,,,99%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Architects,4162766298,info@rigidframeses.com,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
The Renovators of Canada,"Architects, Builders & Engineers",Architects,9055547000,info@trocanada.com,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,"Architects, Builders & Engineers",Architects,9054312299,jescorerenovations@gmail.com,,https://www.jescorerenovations.com/,,,,,98%
BBA DESIGN STUDIO INC - Architect,"Architects, Builders & Engineers",Architects,4164565197,bbadesignstudio@gmail.com,,https://homestars.com/companies/2891086-bba-design-studio,,,,,99%
RenoDuck - Basement Renovation & Finishing,"Architects, Builders & Engineers",Architects,6475594495,support@renoduck.com,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
Amista Homes Inc,"Architects, Builders & Engineers",Builders,4167226912,a7226912@gmail.com,,https://www.amistahomes.com/,,,,,96%
StrongHold Contracting,"Architects, Builders & Engineers",Builders,,,,,,,,,
Sanza Homes Inc.,"Architects, Builders & Engineers",Builders,8884072692,info@sanzahomes.com,,http://www.sanzahomes.com/,https://www.instagram.com/sanzahomes/?hl=en,,,,98%
Home Improvement People Inc.,"Architects, Builders & Engineers",Builders,4167827605,hello@homeimprovementpeople.com,,http://www.homeimprovementpeople.com/,http://www.instagram.com/homeimprovementpeople,,,,98%
Hotwire Power Group,"Architects, Builders & Engineers",Builders,4165535533,info@hotwire-electric.com,,https://www.hotwire-electric.com/,,,,,97%
"Architalcan Design, Inc.","Architects, Builders & Engineers",Builders,4165194448,rocco@architalcandesign.com,,https://www.architalcandesign.com/,https://www.instagram.com/architalcan_design/?hl=en,,,,97%
The Home Improvement Group - THIG,"Architects, Builders & Engineers",Builders,9055020204,sales@thig.pro,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
NPC Building and Renovations Limited,"Architects, Builders & Engineers",Builders,6474072602,npc@npcrenovations.com,,https://www.npcrenovations.com/,https://www.instagram.com/npcbuilding/,https://www.facebook.com/npcrenovations/,,,99%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Builders,4162766298,info@rigidframeses.com,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
Jescore Renovations Inc.,"Architects, Builders & Engineers",Builders,9054312299,jescorerenovations@gmail.com,,https://www.jescorerenovations.com/,,,,,98%
Domilya Group Construction Inc.,"Architects, Builders & Engineers",Builders,9053664592,appointments@domilyagroup.ca,,https://www.domilyagroup.ca/?utm_source=Homestars&utm_medium=Homestars,https://www.instagram.com/domilyagroup/?hl=en,https://www.facebook.com/domilyaGroupInc/,,,98%
RenoDuck - Basement Renovation & Finishing,"Architects, Builders & Engineers",Builders,6475594495,support@renoduck.com,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
National Contracting Inc,"Architects, Builders & Engineers",Builders,,,,,,,,,
Generational Homes - Renovation & Construction,"Architects, Builders & Engineers",Builders,4167284405,info@generationalhomes.ca,,https://generationalhomes.ca/,https://www.instagram.com/generation_homes/,https://www.homestars.com/companies/www.facebook.com/generationalhomes,,,89%
Rigid Frame Structural Engineers Inc. And Architects,"Architects, Builders & Engineers",Builders,4162766298,info@rigidframeses.com,,https://rigidframeses.com/,https://www.instagram.com/rigidframeinc/,https://www.facebook.com/Rigidframeses/,,,98%
Victorian Renovations,"Architects, Builders & Engineers",Builders,6479686957,example@mysite.com,,https://www.victorianreno.ca/,,,,,98%
MEADOWLANDS GROUP INC,"Architects, Builders & Engineers",Builders,6476966554,info@meadowlandsgroupinc.com,,https://www.meadowlandsgroupinc.com/,https://www.instagram.com/meadowlandscaping/,https://www.facebook.com/meadowlandscaping,,,95%
Fuzion Designs,"Architects, Builders & Engineers",Builders,4165710011,info@fuziondesigns.ca,,https://fuziondesigns.ca/,https://www.instagram.com/fuziondesignscanada/#,https://www.facebook.com/fuziondesignandbuild,,,96%
RENOCORP Inc.,"Architects, Builders & Engineers",Builders,4162388373,info@renocorpinc.ca,,https://www.renocorpinc.ca/,https://www.instagram.com/renocorp_inc,,,,97%
Caspian Development Group Corp,"Architects, Builders & Engineers",Builders,,,,https://www.instagram.com/caspiandevelopmentgroupcorp/?hl=en,,,,,98%
Chicasa Design,"Architects, Builders & Engineers",Builders,4163191212,build@chicasadesign.com,,https://chicasadesign.com/,https://www.instagram.com/chic_design_build_?igsh=MWpnNm84cWFqdDB0Yg%3D%3D&utm_source=qr,,,,95%
TMDC Group,"Architects, Builders & Engineers",Builders,4168353336,info@tmdcgroup.ca,,https://tmdcgroup.ca/,https://instagram.com/tmdc_group?utm_medium=copy_link,https://www.facebook.com/TMDCGroupInc/,,,97%
Thompson Construction (Gta),"Architects, Builders & Engineers",Builders,2895416005,info@thompsonconstruction.co,,https://www.thompsonconstruction.co/,https://www.instagram.com/thompsonconstructionrenovation/,,,,97%
Novacon Construction Inc,"Architects, Builders & Engineers",Builders,4167507555,info@novacon.ca,,https://novacon.ca/,,,,,96%
Urban Studio,"Architects, Builders & Engineers",Builders,4165533290,info@urbanstudio.design,,https://urbanstudio.design/,,https://www.facebook.com/urbanstudiosotoronto,,,96%
Norseman Construction & Development Ltd,"Architects, Builders & Engineers",Builders,6474355433,info@norsemanconstruction.ca,,https://www.norsemanconstruction.ca/,https://www.instagram.com/norsemanconstruction/,https://www.facebook.com/norsemanconstructionanddevelopment,,,92%
